CTID,A_TRIP,P_TRIP,A_SHARE,P_SHARE,P_SHARE_PCT,A_TRIP_W,P_TRIP_W,A_SHARE_W,P_SHARE_W,P_SHARE_PCT_W,A_EMPTY,P_EMPTY,A_EMPTY_W,P_EMPTY_W
17031040300,154,145,48,55,0.379310345,117,117,34,42,0.358974359,395,412,434,422
17031040401,169,157,43,48,0.305732484,218,206,45,50,0.242718447,134,158,208,197
17031040402,422,425,108,111,0.261176471,570,554,127,124,0.223826715,614,632,646,744
17031040600,357,329,91,93,0.282674772,510,523,105,116,0.221797323,378,338,541,476
17031040700,195,178,47,55,0.308988764,276,274,57,68,0.248175182,137,180,269,283
17031040800,100,96,28,34,0.354166667,115,113,27,37,0.327433628,88,82,100,97
17031040900,214,213,51,57,0.267605634,329,316,64,69,0.21835443,823,767,828,753
17031050100,295,278,69,79,0.284172662,427,413,78,82,0.198547215,281,270,407,415
17031050200,418,438,97,110,0.251141553,636,686,116,135,0.196793003,518,412,653,613
17031050300,131,144,32,46,0.319444444,158,166,30,45,0.271084337,113,112,126,138
17031050500,299,322,73,84,0.260869565,422,413,86,88,0.213075061,223,256,361,381
17031050600,371,371,90,102,0.274932615,540,562,112,122,0.217081851,377,380,526,510
17031050700,133,130,31,42,0.323076923,199,200,38,49,0.245,155,153,226,229
17031050800,136,141,30,41,0.290780142,209,219,37,49,0.223744292,842,778,830,829
17031050900,108,123,29,40,0.325203252,138,148,28,42,0.283783784,83,95,110,125
17031051000,136,137,35,45,0.328467153,212,213,40,54,0.253521127,143,116,240,172
17031051100,150,162,34,48,0.296296296,212,230,36,52,0.226086957,131,156,234,222
17031051200,154,153,36,46,0.300653595,230,230,40,52,0.226086957,146,132,216,211
